City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rainfall,Snowfall,Wind Speed
0,Leshukonskoye,96,RU,overcast clouds,2020-06-22 05:17:51,46,64.9,45.76,57.06,0.0,0,9.1
1,Tasiilaq,90,GL,overcast clouds,2020-06-22 05:17:51,70,65.61,-37.64,48.2,0.0,0,2.24
2,Tessalit,16,ML,few clouds,2020-06-22 05:17:51,12,20.2,1.01,87.64,0.0,0,6.78
3,Jamestown,20,US,few clouds,2020-06-22 05:13:42,88,42.1,-79.24,68.0,0.0,0,4.7
4,Gat,0,IL,clear sky,2020-06-22 05:17:02,80,31.61,34.76,78.01,0.0,0,5.97
5,Vaini,40,TO,scattered clouds,2020-06-22 05:16:16,88,-21.2,-175.2,80.6,0.0,0,4.7
6,Atuona,29,PF,scattered clouds,2020-06-22 05:17:53,76,-9.8,-139.03,80.28,0.0,0,14.12
7,Orbetello,3,IT,clear sky,2020-06-22 05:17:53,82,42.44,11.22,69.01,0.0,0,4.7
8,Punta Arenas,97,CL,overcast clouds,2020-06-22 05:17:53,100,-53.15,-70.92,37.0,0.0,0,3.36
9,Tuatapere,3,NZ,clear sky,2020-06-22 05:17:53,83,-46.13,167.68,39.0,0.0,0,3.0
10,Mataura,0,NZ,clear sky,2020-06-22 05:17:53,83,-46.19,168.86,39.0,0.0,0,3.0
11,Beruwala,100,LK,overcast clouds,2020-06-22 05:17:54,71,6.48,79.98,84.85,0.0,0,13.09
12,Salalah,75,OM,broken clouds,2020-06-22 05:17:54,79,17.02,54.09,84.2,0.0,0,6.93
13,Hithadhoo,97,MV,overcast clouds,2020-06-22 05:17:54,66,-0.6,73.08,84.43,0.0,0,7.7
14,Makakilo City,75,US,broken clouds,2020-06-22 05:17:54,61,21.35,-158.09,82.4,0.0,0,8.05
15,Kavieng,12,PG,light rain,2020-06-22 05:17:55,71,-2.57,150.8,84.72,0.41,0,5.79
16,Nemuro,75,JP,mist,2020-06-22 05:17:27,93,43.32,145.57,53.6,0.0,0,5.82
17,Victoria,100,HK,overcast clouds,2020-06-22 05:17:55,70,22.29,114.16,93.0,0.0,0,11.01
18,Samarai,63,PG,broken clouds,2020-06-22 05:17:55,82,-10.62,150.67,80.62,0.0,0,11.25
19,Santa Rosalia,0,MX,clear sky,2020-06-22 05:17:56,32,27.32,-112.28,79.43,0.0,0,6.55
20,Ixtapa,90,MX,overcast clouds,2020-06-22 05:17:56,70,20.7,-105.2,84.2,0.0,0,0.96
21,Ushuaia,28,AR,scattered clouds,2020-06-22 05:16:02,86,-54.8,-68.3,33.8,0.0,0,5.82
22,Busselton,98,AU,moderate rain,2020-06-22 05:17:56,34,-33.65,115.33,66.0,1.04,0,23.98
23,Sioux Lookout,40,CA,scattered clouds,2020-06-22 05:15:38,87,50.1,-91.92,55.4,0.0,0,6.93
24,Ribas Do Rio Pardo,0,BR,clear sky,2020-06-22 05:17:57,61,-20.44,-53.76,63.79,0.0,0,2.95
25,Kodiak,90,US,overcast clouds,2020-06-22 05:17:57,81,57.79,-152.41,51.8,0.0,0,8.05
26,Vega De Alatorre,87,MX,overcast clouds,2020-06-22 05:17:57,81,20.03,-96.63,80.89,0.0,0,11.41
27,Falkenberg,93,SE,overcast clouds,2020-06-22 05:17:57,93,56.91,12.49,62.01,0.0,0,5.86
28,Port Elizabeth,22,ZA,few clouds,2020-06-22 05:17:58,93,-33.92,25.57,48.2,0.0,0,3.36
29,Barrow,90,US,mist,2020-06-22 05:15:02,93,71.29,-156.79,35.6,0.0,0,11.41
30,Upernavik,82,GL,broken clouds,2020-06-22 05:17:58,71,72.79,-56.15,39.54,0.0,0,7.87
31,Port Alfred,18,ZA,few clouds,2020-06-22 05:17:58,91,-33.59,26.89,55.99,0.0,0,1.01
32,Provideniya,9,RU,clear sky,2020-06-22 05:17:59,58,64.38,-173.3,57.2,0.0,0,8.95
33,Avarua,74,CK,light rain,2020-06-22 05:17:59,78,-21.21,-159.78,71.6,0.0,0,10.29
34,Albany,26,US,scattered clouds,2020-06-22 05:13:01,94,42.6,-73.97,75.99,0.0,0,2.59
35,Cayenne,75,GF,broken clouds,2020-06-22 05:17:59,100,4.93,-52.33,77.0,0.0,0,7.09
36,Kapaa,40,US,scattered clouds,2020-06-22 05:18:00,69,22.08,-159.32,80.6,0.0,0,9.17
37,Nikolskoye,0,RU,clear sky,2020-06-22 05:18:00,59,59.7,30.79,63.0,0.0,0,6.71
38,Zhireken,39,RU,scattered clouds,2020-06-22 05:18:00,42,52.82,117.31,69.37,0.0,0,7.49
39,Hermanus,77,ZA,broken clouds,2020-06-22 05:18:00,94,-34.42,19.23,48.0,0.0,0,6.04
40,Thompson,75,CA,broken clouds,2020-06-22 05:18:01,93,55.74,-97.86,55.4,0.0,0,2.68
41,Getafe,0,ES,clear sky,2020-06-22 05:18:01,52,40.31,-3.73,68.0,0.0,0,13.87
42,Ostrovnoy,12,RU,few clouds,2020-06-22 05:18:01,67,68.05,39.51,48.22,0.0,0,15.08
43,Bundaberg,1,AU,clear sky,2020-06-22 05:18:01,33,-24.85,152.35,73.4,0.0,0,9.17
44,Rikitea,71,PF,broken clouds,2020-06-22 05:18:01,68,-23.12,-134.97,70.34,0.0,0,17.09
45,Campo Verde,1,BR,clear sky,2020-06-22 05:18:02,72,-20.42,-54.07,62.6,0.0,0,8.05
46,Artyom,29,AZ,scattered clouds,2020-06-22 05:18:02,45,40.47,50.33,86.0,0.0,0,23.04
47,Cape Town,20,ZA,few clouds,2020-06-22 05:18:02,100,-33.93,18.42,50.0,0.0,0,3.36
48,Hurricane,1,US,clear sky,2020-06-22 05:18:02,12,37.18,-113.29,84.2,0.0,0,5.82
49,Cherskiy,27,RU,scattered clouds,2020-06-22 05:18:03,42,68.75,161.3,68.63,0.0,0,18.07
50,Batemans Bay,14,AU,few clouds,2020-06-22 05:18:03,62,-35.72,150.18,57.0,0.0,0,4.7
51,Puerto Ayora,26,EC,scattered clouds,2020-06-22 05:18:03,94,-0.74,-90.35,68.0,0.0,0,1.01
52,Vardo,40,NO,scattered clouds,2020-06-22 05:18:03,81,70.37,31.11,46.4,0.0,0,5.82
53,Bredasdorp,81,ZA,broken clouds,2020-06-22 05:18:04,100,-34.53,20.04,48.2,0.0,0,4.38
54,Lompoc,90,US,overcast clouds,2020-06-22 05:17:28,93,34.64,-120.46,57.2,0.0,0,6.93
55,Carnarvon,0,AU,clear sky,2020-06-22 05:16:09,51,-24.87,113.63,80.6,0.0,0,13.87
56,Yar-Sale,100,RU,overcast clouds,2020-06-22 05:16:03,86,66.83,70.83,42.98,0.0,0,14.38
57,Kununurra,0,AU,clear sky,2020-06-22 05:18:04,19,-15.77,128.73,84.2,0.0,0,10.29
58,East London,13,ZA,few clouds,2020-06-22 05:18:05,71,-33.02,27.91,55.4,0.0,0,9.17
59,Urengoy,95,RU,overcast clouds,2020-06-22 05:18:05,88,65.97,78.37,51.12,0.0,0,9.75
60,Vaitape,70,PF,broken clouds,2020-06-22 05:18:05,79,-16.52,-151.75,78.19,0.0,0,24.29
61,Necochea,42,AR,scattered clouds,2020-06-22 05:16:14,97,-38.55,-58.74,37.0,0.0,0,1.99
62,Clinton,1,US,clear sky,2020-06-22 05:13:17,88,42.59,-82.92,75.0,0.0,0,4.7
63,Ganzhou,100,CN,light rain,2020-06-22 05:18:06,65,28.82,115.43,91.58,0.17,0,9.37
64,Tirat Karmel,75,IL,broken clouds,2020-06-22 05:18:06,74,32.76,34.97,79.0,0.0,0,8.05
65,Chipinge,0,ZW,clear sky,2020-06-22 05:18:07,66,-20.19,32.62,50.14,0.0,0,1.95
66,Vostok,96,RU,overcast clouds,2020-06-22 05:18:07,80,46.49,135.88,59.92,0.0,0,2.77
67,Dali,59,CN,light rain,2020-06-22 05:18:07,54,25.7,100.18,77.94,0.14,0,7.23
68,Chokurdakh,81,RU,broken clouds,2020-06-22 05:18:07,41,70.63,147.92,69.28,0.0,0,16.67
69,New Norfolk,100,AU,moderate rain,2020-06-22 05:16:12,92,-42.78,147.06,54.0,1.27,0,1.01
70,Cidreira,53,BR,broken clouds,2020-06-22 05:16:08,87,-30.18,-50.21,67.6,0.0,0,7.63
71,Chuy,91,UY,overcast clouds,2020-06-22 05:18:08,96,-33.7,-53.46,57.76,0.0,0,3.4
72,Ribeira Grande,7,PT,clear sky,2020-06-22 05:18:08,88,38.52,-28.7,66.24,0.0,0,17.56
73,Yulara,0,AU,clear sky,2020-06-22 05:18:09,36,-25.24,130.99,62.6,0.0,0,12.75
74,Bud,23,US,few clouds,2020-06-22 05:18:09,97,39.45,-86.18,64.99,0.0,0,2.08
75,Luderitz,0,NA,clear sky,2020-06-22 05:18:09,76,-26.65,15.16,53.6,0.0,0,4.7
