City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2020-06-21 04:00:42,-33.59,26.89,61.0,89,3,4.0
1,Saskylakh,RU,2020-06-21 03:57:03,71.92,114.08,81.23,34,98,2.95
2,Port Elizabeth,ZA,2020-06-21 04:00:47,-33.92,25.57,59.0,93,16,18.34
3,Kruisfontein,ZA,2020-06-21 04:00:47,-34.0,24.73,54.14,95,20,8.88
4,Rikitea,PF,2020-06-21 04:00:29,-23.12,-134.97,74.32,83,83,16.93
5,Saint Anthony,US,2020-06-21 04:07:01,45.02,-93.22,66.2,68,1,3.36
6,Mataura,NZ,2020-06-21 04:00:37,-46.19,168.86,44.01,81,1,1.61
7,Hobart,AU,2020-06-21 03:57:48,-42.88,147.33,53.01,87,75,6.93
8,Grand Gaube,MU,2020-06-21 03:57:09,-20.01,57.66,71.01,83,18,8.01
9,Cape Town,ZA,2020-06-21 03:57:32,-33.93,18.42,60.01,93,40,10.29
10,Khasan,RU,2020-06-21 03:58:40,42.43,130.64,64.33,86,100,18.23
11,Lata,PT,2020-06-21 04:07:02,40.16,-8.33,62.01,97,27,1.01
12,Tupik,RU,2020-06-21 04:07:03,54.43,119.93,62.58,62,81,9.71
13,Vaini,TO,2020-06-21 03:55:59,-21.2,-175.2,77.0,88,75,5.82
14,Fairview,US,2020-06-21 04:07:03,40.81,-74.0,75.2,73,1,3.36
15,Morondava,MG,2020-06-21 03:58:38,-20.28,44.28,67.84,88,100,6.53
16,Nilanga,IN,2020-06-21 04:07:04,18.1,76.77,77.94,74,100,15.41
17,Trinidad,BO,2020-06-21 04:05:37,-14.83,-64.9,73.78,77,9,2.98
18,Punta Arenas,CL,2020-06-21 03:57:42,-53.15,-70.92,33.8,86,100,4.7
19,Ushuaia,AR,2020-06-21 04:00:28,-54.8,-68.3,37.4,91,75,5.82
20,New Norfolk,AU,2020-06-21 04:01:09,-42.78,147.06,53.01,91,100,0.96
21,Busselton,AU,2020-06-21 04:00:31,-33.65,115.33,62.01,44,0,5.55
22,Kavieng,PG,2020-06-21 04:01:04,-2.57,150.8,84.85,68,9,3.2
23,Saint-Pierre,RE,2020-06-21 04:07:05,-21.34,55.48,70.0,72,75,6.93
24,Ikungi,TZ,2020-06-21 04:07:05,-5.13,34.77,53.56,89,72,6.53
25,Lebu,CL,2020-06-21 03:58:20,-37.62,-73.65,48.42,84,0,5.53
26,Carnarvon,AU,2020-06-21 03:58:44,-24.87,113.63,78.8,44,0,5.82
27,Thompson,CA,2020-06-21 04:00:35,55.74,-97.86,50.0,93,75,9.17
28,Hilo,US,2020-06-21 04:00:42,19.73,-155.09,80.6,54,90,11.41
